#,Domain Name,URL Route,Discipline Field,Purpose,Featured Kits,Key Components
1,Robotics,/robotics,Autonomous Systems & Kinematics,"Teaches closed-loop motor control, obstacle mapping, and multi-axis articulation.","SEIKO Smart Autonomous Rover Kit, SEIKO 4-DOF Robotic Arm, SEIKO Bipedal Walker","L298N Driver, HC-SR04 Ultrasonic, SG90 Servos, ATmega328P MCU"
2,Water & Aqua,/water-aqua,Aquatic & Marine Engineering,"Explores marine telemetry, waterproof sensors, hull buoyancy, and solar boats.","SEIKO Solar Aquatic Boat Kit, Submersible Telemetry Probe, Water Quality Monitor","IP68 Temp Sensor, Turbidity Sensor, Solar Thruster Motors, ESP32"
3,Music & Sound,/music-sound,Audio DSP & Acoustic Synthesis,Connects digital signal processing (DSP) with creative acoustics and synthesizers.,"SEIKO DIY Synth Generator, Capacitive MIDI Touch Piano, Audio Spectrum Visualizer","MPR121 Touch Sensor, DAC Audio Module, 128x64 OLED, Piezo Buzzers"
4,IoT & Smart Devices,/iot-smart-devices,Embedded IoT & Cloud Telemetry,"Teaches Wi-Fi networking, MQTT cloud protocols, and remote telemetry dashboards.","SEIKO Cloud Telemetry Station, ESP32 Wi-Fi Sensor Hub, Wireless Environmental Node","ESP32 Dual-Core MCU, BME280 Atmospheric Sensor, ThingSpeak API"
5,Biomedical & Health,/biomedical-health,Biomedical Engineering & Wearables,"Introduces biomedical instrumentation, ECG heart rate monitors, and SpO2 telemetry.","SEIKO Biomedical Health Monitor Kit, ECG & Pulse Telemetry Kit, Health Wearable Node","AD8232 ECG Sensor, MAX30102 Heart Rate/SpO2, BLE Transceiver"
6,Vehicles & Transportation,/vehicles-transportation,Automotive & Electric Mobility,"Covers electric drivetrain mechanics, PWM speed control, and transit simulation.","SEIKO Electric Vehicle Speed Controller, Smart Transit Simulator, Differential Gearbox","Brushed Motors, Hall Effect Sensors, PWM Speed Shield, 7-Segment Display"
7,Space & Aerospace,/space-aerospace,Aerospace & Orbital Telemetry,"Simulates satellite orbit tracking, atmospheric data logging, and rocket telemetry.","SEIKO Cubesat Nanosatellite Kit, Atmospheric Sondes Logger, Ground Station Radio","MPU6050 6-Axis Gyro, BMP280 Altimeter, LoRa 915MHz Radio, Flash Logger"
8,Agriculture & Environment,/agriculture-environment,Agritech & Sustainable Ecology,"Teaches automated drip irrigation, capacitive soil sensing, and climate regulation.","SEIKO Smart Agriculture Irrigation Kit, Greenhouse Climate Controller, Solar Weather Station","Capacitive Soil Sensor, 5V Solenoid Valve, DHT22 Humidity, Relay Bank"
9,Smart Home & Automation,/smart-home-automation,Smart Living & Ambient Automation,"Introduces residential automation, relay switching, RFID smart locks, and voice nodes.","SEIKO Smart Home Automation Hub, RFID Door Security Lock, Automated Climate Controller","4-Channel Relay Bank, RC522 RFID Reader, ESP8266 Wi-Fi, IR Receiver"
10,Energy & Power,/energy-power,Renewable Energy & Power Systems,"Demonstrates solar dual-axis sun tracking, supercapacitor storage, and energy meters.","SEIKO Solar Panel Sun Tracking Kit, Micro-Grid Power Monitor, Renewable Energy Lab","LDR Light Sensors, SG90 Servos, INA219 Current Meter, Solar Charging Board"
11,Safety & Security,/safety-security,Cyber-Physical & Perimeter Security,"Covers physical security hardware, PIR motion alarms, and toxic gas leak alerts.","SEIKO Perimeter Intrusion Security Kit, Gas Leak Alert System, Laser Tripwire Lab","PIR Infrared Sensor, MQ-2 Gas Sensor, RC522 RFID, High-Decibel Siren"
12,Science & Experiments,/science-experiments,Fundamental Physics & Circuit Theory,Bridges physical science experiments with electronic data logging and logic circuits.,"SEIKO Circuit Starter Workbook Kit, Physics Data Logger Kit, Light & Sound Probe","830 Point Breadboard, Multimeter Probes, Phototransistors, 74HC Logic ICs"
13,Gaming & Interactive,/gaming-interactive,Game Engine Architecture & Interactive Tech,"Teaches 2D game engine math, frame buffer rendering, and hardware button interrupts.","SEIKO Retro Arcade Console Engine, Reflex & Speed Reaction Tester, Quiz Buzzer Arena","1.3"" SPI OLED Display, Tactile D-Pad Buttons, Interrupt Pins, EEPROM"
14,AI & Intelligent Machines,/ai-intelligent-machines,Edge AI & Embedded Machine Learning,"Introduces edge AI (TinyML), computer vision face tracking, and voice command neural inference.","SEIKO AI Vision & Voice Robot, TinyML Neural Gesture Glove, Optical Tracking Cam Shield","ESP32-CAM OV2640, Pan-Tilt Dual Servos, TensorFlow Lite Micro, Speech IC"
15,Mechanical & Machines,/mechanical-machines,"Mechanics, Kinematics & Actuators","Focuses on mechanical advantage physics, gear torque ratios, and linkage kinematics.","SEIKO Mechanical Workbench Lab, Gear Reduction & Torque Crane, Linkage Assembler","Spur & Worm Gears, High-Torque DC Motors, Pulley Belts, Acrylic Linkages"
16,Aviation,/aviation,"Aerodynamics, Avionics & Flight Control","Explores lift aerodynamics, 4-rotor drone stabilization, brushless ESCs, and PID algorithms.","SEIKO DIY Quadcopter Drone Flight Kit, Wind Tunnel Aerodynamics Tester, PID Board","Brushless Motors, 30A ESC Controllers, MPU6050 Flight Gyro, 2.4GHz RF Receiver"
17,Communication,/communication,Wireless Telecommunications & RF,"Covers long-range LoRa packet radio, Bluetooth LE serial telemetry, and IR decoding.","SEIKO LoRa Wireless Kit, Bluetooth LE Transceiver Node, Infrared Remote Lab","SX1276 LoRa 915MHz Module, HC-05 Bluetooth, IR Transmitter/Receiver Diodes"
18,Disaster & Rescue,/disaster-rescue,Disaster Mitigation & Emergency Systems,"Teaches emergency response engineering, seismic tremor alarms, and river flood telemetry.","SEIKO Disaster & Rescue Beacon Kit, Flood Telemetry Warning System, Seismic Alarm Node","Vibration Piezo Sensor, Ultrasonic Water Level Sensor, High-Lumen Strobe, Battery"
19,Smart City,/smart-city,Urban Infrastructure & Smart Grids,"Demonstrates smart traffic intersection timing, ultrasonic parking guidance, and waste telemetry.","SEIKO Smart City Traffic Grid Simulator, Ultrasonic Parking Guidance, Waste Telemetry","MAX7219 LED Matrices, Ultrasonic Vehicle Sensors, Light Sensors, Push Buttons"
20,Industrial Automation,/industrial-automation,Industrial Mechatronics & Factory Systems,"Introduces factory automation, PLC ladder logic simulation, conveyor sorting, and RS485 Modbus.","SEIKO Industrial Automation Sorter Kit, PLC Relay Controller Trainer, RS485 Hub","TCS3200 Color Sensor, Conveyor Servo Actuator, 4-Channel Relays, RS485 IC"
